Application mode,Course,Daytime/evening attendance,Mother's qualification,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Target
1,6,1,3,0,0,1,0,0,18,4,5,7.6,2.6,0.32,Graduate
1,10,1,22,0,0,1,0,0,18,5,6,9.4,-0.8,-3.12,Graduate
1,15,1,13,1,0,1,0,0,18,6,6,11.1,0.6,2.02,Graduate
2,16,1,13,0,0,0,0,0,28,11,8,15.5,2.8,-4.06,Dropout
8,11,1,22,1,0,1,0,0,19,4,1,7.6,2.6,0.32,Dropout
14,2,1,3,1,1,1,0,0,20,0,0,13.9,-0.3,0.79,Dropout
1,12,1,1,1,0,1,0,1,19,6,7,12.4,0.5,1.79,Graduate
1,5,1,1,0,0,1,0,1,20,6,6,11.1,0.6,2.02,Graduate
1,11,1,13,1,0,1,0,1,19,5,5,12.4,0.5,1.79,Graduate
1,16,1,1,1,0,1,0,1,19,7,7,11.1,0.6,2.02,Graduate
1,5,1,13,1,0,1,0,1,18,6,6,13.9,-0.3,0.79,Graduate
8,14,1,10,0,0,1,0,1,19,6,6,8.9,1.4,3.51,Graduate
1,15,1,23,0,1,1,0,0,20,5,6,16.2,0.3,-0.92,Graduate
8,16,1,1,1,0,1,0,0,18,5,6,13.9,-0.3,0.79,Enrolled
14,2,1,13,0,0,1,0,0,18,0,0,15.5,2.8,-4.06,Enrolled
8,8,1,1,0,0,1,0,0,18,4,5,7.6,2.6,0.32,Graduate
8,15,1,13,0,0,1,0,0,18,0,0,8.9,1.4,3.51,Dropout
8,10,1,22,1,0,1,0,0,18,5,6,7.6,2.6,0.32,Graduate
9,15,1,13,1,0,1,0,0,20,5,6,15.5,2.8,-4.06,Dropout
8,12,1,13,1,0,1,0,1,19,7,8,12.4,0.5,1.79,Graduate
8,14,1,10,1,1,0,0,0,20,0,0,10.8,1.4,1.74,Dropout
1,11,1,22,1,0,1,0,0,18,5,4,9.4,-0.8,-3.12,Graduate
1,15,1,1,0,0,1,0,1,20,6,6,10.8,1.4,1.74,Graduate
1,12,1,13,1,0,1,0,1,19,8,8,9.4,-0.8,-3.12,Graduate
8,8,1,13,1,0,0,0,0,22,0,0,9.4,-0.8,-3.12,Dropout
1,16,1,23,1,0,1,0,0,18,3,4,10.8,1.4,1.74,Enrolled
14,9,1,3,0,0,1,0,0,21,6,7,7.6,2.6,0.32,Enrolled
1,10,1,13,1,0,1,0,0,19,2,5,7.6,2.6,0.32,Graduate
1,2,1,22,1,0,1,0,0,19,0,0,10.8,1.4,1.74,Dropout
1,12,1,19,1,0,1,0,1,20,7,7,9.4,-0.8,-3.12,Dropout
1,12,1,23,1,1,1,0,1,18,7,8,15.5,2.8,-4.06,Graduate
16,17,0,13,0,0,0,0,0,22,7,5,8.9,1.4,3.51,Dropout
8,6,1,13,1,0,1,0,0,20,4,5,7.6,2.6,0.32,Graduate
15,4,1,23,0,0,1,0,0,19,6,6,12.4,0.5,1.79,Graduate
1,12,1,1,1,0,1,0,1,19,7,7,12.4,0.5,1.79,Graduate
1,12,1,23,1,0,1,0,1,20,5,6,11.1,0.6,2.02,Enrolled
1,12,1,13,0,0,1,0,1,19,6,7,15.5,2.8,-4.06,Graduate
9,12,1,23,1,0,1,0,0,19,8,8,9.4,-0.8,-3.12,Graduate
1,5,1,3,1,0,0,0,0,19,0,0,10.8,1.4,1.74,Dropout
1,12,1,23,0,0,1,0,0,20,6,7,13.9,-0.3,0.79,Graduate
12,13,1,22,1,0,1,0,0,25,7,5,12.4,0.5,1.79,Enrolled
8,12,1,13,1,0,1,0,1,20,6,6,7.6,2.6,0.32,Graduate
1,14,1,1,0,0,1,0,0,20,5,5,7.6,2.6,0.32,Graduate
13,12,1,1,1,0,1,0,0,21,7,8,15.5,2.8,-4.06,Graduate
15,4,1,22,0,1,1,0,1,19,6,5,15.5,2.8,-4.06,Graduate
1,14,1,22,0,0,1,0,1,21,5,4,9.4,-0.8,-3.12,Graduate
12,12,1,3,0,0,1,0,0,28,7,8,15.5,2.8,-4.06,Graduate
1,10,1,22,1,1,0,0,1,19,5,5,10.8,1.4,1.74,Graduate
1,9,1,22,0,0,1,0,1,18,5,5,12.4,0.5,1.79,Graduate
8,12,1,22,1,0,1,0,1,18,7,7,12.7,3.7,-1.7,Graduate
1,12,1,13,1,0,1,0,1,18,8,8,9.4,-0.8,-3.12,Graduate
13,12,1,1,1,0,1,0,0,22,7,7,12.7,3.7,-1.7,Graduate
1,9,1,22,1,0,1,0,0,19,4,3,12.4,0.5,1.79,Enrolled
1,12,1,13,0,0,1,0,1,18,7,8,13.9,-0.3,0.79,Graduate
15,2,1,22,0,0,0,0,0,26,4,3,12.4,0.5,1.79,Dropout
1,5,1,22,1,0,1,0,1,18,6,6,10.8,1.4,1.74,Graduate
1,11,1,1,1,0,1,0,1,21,6,3,10.8,1.4,1.74,Dropout
8,12,1,23,1,0,1,0,0,18,7,7,10.8,1.4,1.74,Graduate
1,6,1,13,1,0,1,0,0,20,6,6,15.5,2.8,-4.06,Graduate
1,12,1,23,1,0,1,0,0,18,7,7,15.5,2.8,-4.06,Graduate
1,14,1,1,1,0,1,0,0,20,4,4,7.6,2.6,0.32,Dropout
1,16,1,13,0,1,1,0,1,18,6,6,12.7,3.7,-1.7,Graduate
7,9,1,22,1,0,1,0,1,20,3,4,10.8,1.4,1.74,Enrolled
1,2,1,13,1,0,1,0,0,18,0,0,7.6,2.6,0.32,Enrolled
16,17,0,13,0,0,1,0,0,21,4,5,8.9,1.4,3.51,Graduate
9,16,1,1,0,0,1,0,0,18,6,6,13.9,-0.3,0.79,Enrolled
1,12,1,13,0,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
1,5,1,10,0,0,1,0,1,18,6,6,8.9,1.4,3.51,Graduate
8,2,1,22,1,0,1,0,0,19,0,0,15.5,2.8,-4.06,Dropout
8,9,1,1,1,0,1,0,0,19,3,3,10.8,1.4,1.74,Enrolled
1,12,1,23,1,0,1,0,0,19,5,5,16.2,0.3,-0.92,Enrolled
1,12,1,1,1,0,1,0,0,19,7,7,10.8,1.4,1.74,Graduate
1,9,1,1,1,0,1,0,0,19,4,4,8.9,1.4,3.51,Enrolled
8,11,1,23,1,0,0,0,0,19,3,1,10.8,1.4,1.74,Dropout
7,11,1,23,1,0,1,0,1,21,6,6,8.9,1.4,3.51,Graduate
1,15,1,1,0,0,1,0,1,20,5,5,15.5,2.8,-4.06,Graduate
1,9,1,13,1,0,1,0,1,20,5,5,11.1,0.6,2.02,Graduate
12,17,0,22,0,0,1,0,0,41,5,5,7.6,2.6,0.32,Graduate
4,12,1,22,1,0,1,0,0,32,4,7,12.4,0.5,1.79,Enrolled
8,12,1,23,1,0,1,0,0,18,7,7,10.8,1.4,1.74,Graduate
12,3,0,22,0,0,1,0,1,35,6,6,15.5,2.8,-4.06,Graduate
12,12,1,22,0,1,0,0,0,32,4,0,16.2,0.3,-0.92,Dropout
12,3,0,13,0,0,1,0,0,37,11,8,12.4,0.5,1.79,Graduate
12,9,1,3,0,0,1,0,0,30,7,7,12.7,3.7,-1.7,Dropout
14,15,1,13,0,0,1,1,0,23,6,5,7.6,2.6,0.32,Graduate
8,15,1,3,1,0,1,0,1,20,6,6,15.5,2.8,-4.06,Dropout
1,9,1,23,0,0,1,1,0,19,5,5,12.4,0.5,1.79,Graduate
8,12,1,1,1,0,1,1,1,18,7,7,10.8,1.4,1.74,Graduate
13,7,1,19,0,0,1,1,0,18,1,1,10.8,1.4,1.74,Dropout
12,17,0,1,0,0,1,1,0,24,4,5,12.4,0.5,1.79,Enrolled
9,14,1,1,1,0,1,1,0,22,4,4,12.7,3.7,-1.7,Graduate
8,11,1,13,1,0,1,1,0,18,4,3,16.2,0.3,-0.92,Dropout
7,10,1,22,1,0,1,0,0,18,6,5,9.4,-0.8,-3.12,Graduate
1,5,1,2,1,0,1,1,0,21,5,5,16.2,0.3,-0.92,Graduate
12,12,1,22,0,1,1,0,0,38,3,2,16.2,0.3,-0.92,Dropout
9,13,1,23,0,0,1,0,1,19,7,8,12.7,3.7,-1.7,Graduate
7,6,1,1,1,0,1,0,0,18,4,4,12.7,3.7,-1.7,Graduate
1,12,1,13,1,0,1,0,0,19,7,6,12.4,0.5,1.79,Graduate
17,6,1,13,0,1,0,0,0,21,8,5,8.9,1.4,3.51,Dropout
1,12,1,13,1,0,1,0,0,19,6,6,11.1,0.6,2.02,Enrolled
1,10,1,13,0,0,1,0,1,18,5,6,16.2,0.3,-0.92,Graduate
4,12,1,22,1,0,1,0,0,45,11,10,13.9,-0.3,0.79,Enrolled
8,11,1,13,1,1,1,0,0,18,6,4,13.9,-0.3,0.79,Graduate
1,14,1,1,0,0,1,0,1,18,6,6,11.1,0.6,2.02,Graduate
4,8,1,19,0,0,1,0,0,25,0,0,10.8,1.4,1.74,Dropout
1,12,1,1,1,0,1,0,0,19,7,7,10.8,1.4,1.74,Graduate
1,2,1,13,1,0,1,0,1,18,0,0,13.9,-0.3,0.79,Graduate
4,11,1,1,0,0,1,0,0,39,13,12,13.9,-0.3,0.79,Graduate
12,4,1,23,0,0,1,0,0,29,18,13,15.5,2.8,-4.06,Graduate
4,5,1,22,0,0,0,0,0,23,2,0,10.8,1.4,1.74,Dropout
13,16,1,1,1,0,1,0,0,21,4,3,12.7,3.7,-1.7,Dropout
1,10,1,1,0,0,0,0,0,18,6,6,10.8,1.4,1.74,Graduate
4,6,1,1,1,0,1,0,0,23,6,6,12.4,0.5,1.79,Graduate
1,8,1,1,0,0,1,0,0,18,6,6,11.1,0.6,2.02,Graduate
12,3,0,22,0,0,1,0,0,32,5,6,9.4,-0.8,-3.12,Graduate
12,9,1,13,0,1,0,0,0,29,3,2,10.8,1.4,1.74,Dropout
1,10,1,1,1,1,1,0,1,20,5,4,8.9,1.4,3.51,Graduate
12,10,1,19,1,0,0,0,0,28,1,0,9.4,-0.8,-3.12,Dropout
4,9,1,23,0,0,1,0,0,27,3,4,10.8,1.4,1.74,Graduate
12,4,1,13,0,1,1,0,0,37,6,6,16.2,0.3,-0.92,Enrolled
4,3,0,22,0,0,0,0,0,28,1,0,12.7,3.7,-1.7,Dropout
12,4,1,22,0,1,0,0,0,43,4,4,8.9,1.4,3.51,Dropout
14,13,1,22,1,0,0,0,0,32,0,0,10.8,1.4,1.74,Dropout
8,10,1,1,0,0,1,0,1,20,4,5,15.5,2.8,-4.06,Enrolled
12,12,1,23,0,0,1,0,1,35,8,8,9.4,-0.8,-3.12,Graduate
1,14,1,22,1,0,1,0,0,21,3,4,7.6,2.6,0.32,Graduate
1,12,1,13,1,0,1,0,1,18,6,7,12.4,0.5,1.79,Enrolled
1,12,1,3,0,0,1,0,1,18,7,8,16.2,0.3,-0.92,Graduate
15,3,0,13,1,0,1,0,0,22,6,6,12.4,0.5,1.79,Graduate
1,12,1,1,1,0,1,0,0,19,7,7,10.8,1.4,1.74,Graduate
9,9,1,13,1,0,1,0,1,18,5,5,13.9,-0.3,0.79,Graduate
1,2,1,24,1,1,1,0,0,19,0,0,12.4,0.5,1.79,Dropout
1,12,1,13,0,0,1,0,1,18,7,8,11.1,0.6,2.02,Graduate
12,17,0,13,0,1,0,0,0,31,0,0,16.2,0.3,-0.92,Dropout
12,3,0,1,0,1,1,0,1,33,5,6,9.4,-0.8,-3.12,Graduate
1,12,1,13,1,0,1,0,1,19,8,8,9.4,-0.8,-3.12,Graduate
8,10,1,23,1,0,1,0,1,18,6,6,12.7,3.7,-1.7,Graduate
1,9,1,7,0,0,1,0,0,23,3,5,7.6,2.6,0.32,Graduate
8,10,1,23,1,0,1,0,0,20,5,6,9.4,-0.8,-3.12,Graduate
1,12,1,23,1,0,1,0,0,18,8,8,9.4,-0.8,-3.12,Graduate
17,6,1,1,1,1,1,0,0,21,8,5,8.9,1.4,3.51,Enrolled
1,10,1,13,0,0,1,0,1,22,5,5,12.7,3.7,-1.7,Graduate
1,10,1,1,1,1,1,0,0,20,6,6,9.4,-0.8,-3.12,Graduate
4,12,1,13,1,0,1,0,0,23,6,6,7.6,2.6,0.32,Graduate
8,15,1,3,1,0,1,0,0,19,6,6,16.2,0.3,-0.92,Graduate
8,12,1,1,1,0,1,0,0,19,7,7,10.8,1.4,1.74,Graduate
12,17,0,13,0,0,1,0,0,26,2,3,10.8,1.4,1.74,Dropout
1,12,1,1,1,0,1,0,0,18,7,8,16.2,0.3,-0.92,Graduate
9,7,1,1,1,0,1,1,0,18,1,0,9.4,-0.8,-3.12,Dropout
15,4,1,23,1,0,1,1,0,20,6,6,16.2,0.3,-0.92,Graduate
14,17,0,22,0,0,0,1,0,32,5,4,10.8,1.4,1.74,Dropout
12,7,1,1,0,0,1,1,0,25,1,1,13.9,-0.3,0.79,Enrolled
13,6,1,13,1,0,1,0,0,21,5,5,16.2,0.3,-0.92,Graduate
14,17,0,22,0,0,0,0,0,31,4,1,12.7,3.7,-1.7,Dropout
12,16,1,22,0,0,1,0,0,34,1,1,16.2,0.3,-0.92,Dropout
1,10,1,13,1,1,1,0,0,19,0,0,12.4,0.5,1.79,Dropout
17,14,1,13,1,1,1,0,0,21,1,1,8.9,1.4,3.51,Enrolled
1,16,1,23,1,0,0,0,0,18,3,5,9.4,-0.8,-3.12,Dropout
14,15,1,23,1,0,1,0,0,20,6,6,15.5,2.8,-4.06,Graduate
8,14,1,23,1,0,1,0,1,18,5,5,11.1,0.6,2.02,Graduate
1,10,1,23,1,0,1,0,0,19,4,6,7.6,2.6,0.32,Graduate
14,6,1,13,1,0,1,0,0,19,0,4,12.7,3.7,-1.7,Enrolled
12,8,1,3,1,0,1,0,1,30,0,1,11.1,0.6,2.02,Dropout
8,10,1,13,1,0,1,0,0,19,6,6,11.1,0.6,2.02,Graduate
1,13,1,23,1,0,1,0,0,19,7,8,12.7,3.7,-1.7,Graduate
1,12,1,1,1,0,1,0,1,19,7,7,12.7,3.7,-1.7,Graduate
1,6,1,13,1,0,1,0,0,19,6,6,12.4,0.5,1.79,Graduate
1,10,1,1,1,0,1,0,0,20,5,6,7.6,2.6,0.32,Graduate
13,7,1,13,0,1,1,1,0,25,0,2,13.9,-0.3,0.79,Dropout
1,15,1,13,0,0,1,1,0,19,0,0,12.4,0.5,1.79,Dropout
12,16,1,22,0,1,1,0,1,34,6,6,9.4,-0.8,-3.12,Graduate
9,12,1,23,1,0,1,0,1,18,7,7,12.7,3.7,-1.7,Graduate
1,12,1,1,1,0,1,0,1,18,8,8,9.4,-0.8,-3.12,Graduate
1,14,1,23,0,0,1,0,0,20,6,5,11.1,0.6,2.02,Graduate
8,12,1,13,1,0,1,0,1,20,7,7,10.8,1.4,1.74,Graduate
17,17,0,23,0,1,1,0,0,23,8,5,8.9,1.4,3.51,Enrolled
12,14,1,22,0,0,1,0,0,28,1,0,10.8,1.4,1.74,Dropout
8,15,1,22,0,0,1,0,0,18,5,6,15.5,2.8,-4.06,Enrolled
14,9,1,13,1,0,1,0,0,19,5,4,16.2,0.3,-0.92,Graduate
1,9,1,23,1,0,1,0,0,34,2,4,7.6,2.6,0.32,Dropout
16,16,1,22,0,0,1,0,0,35,0,0,8.9,1.4,3.51,Dropout
4,17,0,22,0,0,1,0,0,32,5,5,12.4,0.5,1.79,Graduate
8,11,1,13,1,0,1,0,0,19,6,6,11.1,0.6,2.02,Graduate
8,14,1,1,1,0,1,0,0,18,4,5,11.1,0.6,2.02,Graduate
12,9,1,22,0,0,0,0,0,35,4,5,9.4,-0.8,-3.12,Dropout
12,3,0,1,0,0,1,1,1,24,4,4,12.4,0.5,1.79,Enrolled
8,10,1,13,1,0,1,0,1,20,6,6,13.9,-0.3,0.79,Graduate
1,15,1,13,1,0,1,1,1,18,6,6,16.2,0.3,-0.92,Graduate
1,12,1,23,1,0,1,1,1,20,7,7,10.8,1.4,1.74,Graduate
8,11,1,1,1,0,0,1,0,18,0,0,9.4,-0.8,-3.12,Dropout
1,7,1,13,0,0,1,1,1,18,5,5,12.4,0.5,1.79,Graduate
1,14,1,13,0,0,1,1,1,20,4,4,9.4,-0.8,-3.12,Graduate
8,16,1,13,1,0,1,1,0,19,6,6,12.4,0.5,1.79,Dropout
1,5,1,1,1,0,1,1,1,20,6,5,7.6,2.6,0.32,Enrolled
1,10,1,13,0,0,1,1,0,19,6,6,10.8,1.4,1.74,Graduate
1,15,1,21,1,0,1,1,0,20,5,4,7.6,2.6,0.32,Graduate
1,12,1,13,1,0,1,1,0,22,6,7,11.1,0.6,2.02,Graduate
8,7,1,1,0,0,1,1,1,18,4,6,11.1,0.6,2.02,Enrolled
1,12,1,23,0,0,1,1,0,19,7,7,12.7,3.7,-1.7,Graduate
8,7,1,4,1,0,1,1,0,20,5,5,8.9,1.4,3.51,Graduate
12,4,1,1,0,1,0,1,0,34,0,0,12.4,0.5,1.79,Dropout
12,3,0,1,0,0,1,1,0,24,1,0,16.2,0.3,-0.92,Dropout
12,14,1,19,1,0,1,1,0,26,0,0,7.6,2.6,0.32,Dropout
12,12,1,22,0,0,1,1,0,35,4,5,12.4,0.5,1.79,Dropout
1,17,0,2,1,0,1,1,0,22,5,5,7.6,2.6,0.32,Graduate
8,9,1,1,0,0,1,1,0,19,3,0,8.9,1.4,3.51,Dropout
15,2,1,3,0,1,1,1,0,20,0,0,15.5,2.8,-4.06,Graduate
16,14,1,3,0,1,1,1,0,21,10,8,11.1,0.6,2.02,Graduate
1,15,1,1,1,0,1,0,1,19,6,6,13.9,-0.3,0.79,Graduate
17,4,1,1,0,0,1,0,1,23,12,10,8.9,1.4,3.51,Graduate
8,9,1,13,1,0,1,0,1,18,5,5,12.7,3.7,-1.7,Graduate
9,12,1,22,1,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
1,12,1,23,1,0,1,0,0,19,7,7,10.8,1.4,1.74,Graduate
17,9,1,1,1,0,1,0,0,21,11,8,8.9,1.4,3.51,Graduate
1,6,1,22,1,0,1,0,1,18,6,6,15.5,2.8,-4.06,Graduate
1,15,1,23,1,0,1,0,1,24,6,6,10.8,1.4,1.74,Graduate
1,12,1,3,1,0,1,0,0,18,7,8,16.2,0.3,-0.92,Dropout
1,14,1,13,1,0,1,0,0,18,6,3,13.9,-0.3,0.79,Enrolled
8,12,1,13,1,0,1,0,0,20,6,7,12.4,0.5,1.79,Graduate
8,6,1,1,1,0,1,0,0,19,3,4,9.4,-0.8,-3.12,Enrolled
1,15,1,19,1,0,0,0,1,18,3,3,7.6,2.6,0.32,Dropout
14,11,1,1,0,0,1,0,1,19,4,3,10.8,1.4,1.74,Dropout
8,16,1,1,1,0,1,0,0,19,5,5,10.8,1.4,1.74,Graduate
1,10,1,1,0,1,1,0,0,18,6,6,10.8,1.4,1.74,Graduate
1,16,1,13,1,0,1,0,0,20,6,6,11.1,0.6,2.02,Enrolled
1,12,1,23,1,0,1,0,1,18,8,8,9.4,-0.8,-3.12,Graduate
1,12,1,22,1,0,1,0,0,18,6,6,7.6,2.6,0.32,Graduate
1,6,1,1,1,0,1,0,0,21,4,2,11.1,0.6,2.02,Enrolled
8,11,1,19,1,1,0,0,0,19,1,0,7.6,2.6,0.32,Dropout
1,12,1,1,1,0,1,0,0,21,7,8,12.4,0.5,1.79,Graduate
1,6,1,4,0,0,1,0,0,18,4,3,11.1,0.6,2.02,Enrolled
8,13,1,13,0,0,1,0,1,18,7,8,12.7,3.7,-1.7,Graduate
1,12,1,1,0,0,1,0,0,18,7,8,11.1,0.6,2.02,Graduate
1,8,1,3,0,0,0,0,0,23,0,1,10.8,1.4,1.74,Dropout
1,10,1,13,1,0,1,0,0,20,3,4,16.2,0.3,-0.92,Enrolled
1,12,1,23,0,0,1,0,0,18,7,8,16.2,0.3,-0.92,Graduate
8,16,1,1,1,0,1,0,0,19,5,5,7.6,2.6,0.32,Enrolled
12,12,1,1,0,0,1,0,1,27,6,6,12.4,0.5,1.79,Enrolled
8,9,1,22,1,1,0,0,1,19,5,4,11.1,0.6,2.02,Enrolled
14,8,1,1,1,0,1,0,0,21,5,5,15.5,2.8,-4.06,Dropout
9,12,1,22,1,0,1,0,1,19,7,7,10.8,1.4,1.74,Graduate
15,10,1,22,0,0,1,0,1,21,6,6,13.9,-0.3,0.79,Graduate
1,15,1,13,1,0,1,0,0,18,5,4,10.8,1.4,1.74,Graduate
8,6,1,13,1,0,1,0,1,20,5,4,12.7,3.7,-1.7,Graduate
1,16,1,22,1,0,1,0,1,18,5,5,9.4,-0.8,-3.12,Graduate
8,5,1,1,1,1,0,0,1,18,6,6,12.7,3.7,-1.7,Dropout
1,6,1,1,1,0,1,0,0,18,6,6,8.9,1.4,3.51,Graduate
8,15,1,1,1,0,1,0,1,18,6,6,16.2,0.3,-0.92,Graduate
1,12,1,1,1,0,1,0,1,19,5,7,12.4,0.5,1.79,Enrolled
17,6,1,13,1,1,0,0,0,23,11,8,8.9,1.4,3.51,Enrolled
12,6,1,13,1,0,1,0,1,24,6,6,8.9,1.4,3.51,Graduate
1,2,1,1,1,0,1,0,0,19,0,0,10.8,1.4,1.74,Graduate
1,12,1,13,1,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
8,16,1,23,1,0,1,0,0,19,0,0,10.8,1.4,1.74,Dropout
1,10,1,1,0,0,1,0,1,20,5,5,11.1,0.6,2.02,Enrolled
12,15,1,19,0,0,1,0,0,26,4,0,7.6,2.6,0.32,Dropout
12,11,1,13,0,1,0,1,0,36,0,0,15.5,2.8,-4.06,Dropout
8,2,1,1,0,0,0,1,0,19,0,0,10.8,1.4,1.74,Dropout
13,7,1,13,0,0,0,1,0,27,0,0,15.5,2.8,-4.06,Dropout
1,7,1,3,0,0,1,1,0,18,1,0,8.9,1.4,3.51,Dropout
1,12,1,22,1,0,1,1,1,18,7,7,10.8,1.4,1.74,Graduate
12,5,1,23,0,0,1,1,0,28,0,0,12.4,0.5,1.79,Dropout
15,2,1,13,1,0,1,1,0,21,0,0,12.4,0.5,1.79,Graduate
1,12,1,13,0,0,1,1,0,19,6,6,7.6,2.6,0.32,Graduate
12,14,1,6,0,1,0,1,0,26,0,0,9.4,-0.8,-3.12,Dropout
16,7,1,1,1,0,1,1,0,20,9,6,11.1,0.6,2.02,Dropout
1,12,1,23,1,0,1,1,0,19,7,7,12.7,3.7,-1.7,Graduate
1,9,1,13,1,0,1,1,0,21,3,4,12.7,3.7,-1.7,Dropout
17,14,1,1,0,0,1,1,1,23,5,6,8.9,1.4,3.51,Graduate
12,3,0,23,0,0,1,1,0,29,6,6,11.1,0.6,2.02,Graduate
1,12,1,1,0,0,1,1,0,20,7,7,12.7,3.7,-1.7,Graduate
1,10,1,1,0,0,1,1,0,18,6,6,15.5,2.8,-4.06,Graduate
1,15,1,1,1,0,1,1,0,19,5,5,9.4,-0.8,-3.12,Graduate
4,13,1,1,0,0,0,1,0,23,3,3,10.8,1.4,1.74,Dropout
1,2,1,23,0,0,1,1,0,21,0,0,13.9,-0.3,0.79,Dropout
8,9,1,1,1,0,1,1,0,18,5,4,15.5,2.8,-4.06,Enrolled
1,2,1,22,1,0,1,1,1,18,0,0,10.8,1.4,1.74,Graduate
1,5,1,13,1,1,0,1,0,21,1,0,9.4,-0.8,-3.12,Dropout
16,10,1,1,0,0,1,1,0,22,0,0,11.1,0.6,2.02,Dropout
12,12,1,23,1,0,0,1,0,32,0,0,16.2,0.3,-0.92,Dropout
4,4,1,1,1,0,1,1,0,27,18,13,15.5,2.8,-4.06,Graduate
1,12,1,13,1,0,1,1,0,18,6,6,7.6,2.6,0.32,Graduate
12,5,1,1,1,0,1,1,1,24,6,2,15.5,2.8,-4.06,Graduate
1,8,1,13,1,0,1,1,0,22,2,0,12.7,3.7,-1.7,Dropout
14,8,1,2,1,0,0,1,0,22,0,0,10.8,1.4,1.74,Dropout
1,9,1,22,1,0,1,1,0,19,5,5,13.9,-0.3,0.79,Graduate
8,7,1,22,1,0,1,1,0,19,0,0,7.6,2.6,0.32,Dropout
1,6,1,1,1,0,1,1,0,21,4,3,10.8,1.4,1.74,Enrolled
1,12,1,1,1,0,1,0,1,18,8,8,9.4,-0.8,-3.12,Graduate
1,11,1,3,1,0,1,0,0,18,6,5,9.4,-0.8,-3.12,Graduate
1,2,1,13,1,1,1,0,0,20,0,0,16.2,0.3,-0.92,Dropout
8,10,1,1,1,0,1,0,0,19,6,6,13.9,-0.3,0.79,Graduate
8,15,1,23,1,1,1,0,0,19,5,6,8.9,1.4,3.51,Graduate
8,11,1,10,1,0,1,0,1,18,5,6,12.4,0.5,1.79,Graduate
1,8,1,1,1,0,1,0,0,20,6,6,16.2,0.3,-0.92,Enrolled
15,5,1,10,0,1,1,0,1,22,7,9,12.4,0.5,1.79,Graduate
12,13,1,22,0,0,1,0,0,31,6,7,12.4,0.5,1.79,Graduate
8,16,1,13,0,0,1,0,1,19,7,7,16.2,0.3,-0.92,Graduate
1,11,1,23,1,0,1,0,1,18,6,5,8.9,1.4,3.51,Graduate
1,6,1,10,0,0,1,0,0,21,5,5,7.6,2.6,0.32,Graduate
8,12,1,23,1,0,1,0,1,18,7,8,13.9,-0.3,0.79,Graduate
15,9,1,2,0,1,0,1,0,25,0,0,15.5,2.8,-4.06,Dropout
6,7,1,1,0,1,1,1,0,21,0,0,11.1,0.6,2.02,Dropout
9,12,1,23,1,0,1,0,1,19,7,7,10.8,1.4,1.74,Graduate
1,15,1,23,1,0,1,0,0,19,5,5,10.8,1.4,1.74,Enrolled
8,11,1,9,1,0,1,0,0,22,4,1,7.6,2.6,0.32,Dropout
6,9,1,23,0,0,1,1,0,19,5,5,12.4,0.5,1.79,Graduate
7,10,1,13,1,0,1,0,1,19,4,6,10.8,1.4,1.74,Graduate
14,14,1,22,1,0,1,1,0,23,6,10,9.4,-0.8,-3.12,Graduate
1,15,1,22,1,0,1,0,1,19,4,3,9.4,-0.8,-3.12,Enrolled
9,12,1,13,1,0,1,0,0,18,7,8,13.9,-0.3,0.79,Graduate
1,6,1,13,0,0,1,0,0,20,5,4,7.6,2.6,0.32,Graduate
8,6,1,13,0,0,0,0,0,18,0,0,12.7,3.7,-1.7,Dropout
8,14,1,3,0,0,1,0,0,18,6,5,8.9,1.4,3.51,Graduate
8,9,1,13,1,1,1,0,1,18,5,5,11.1,0.6,2.02,Graduate
12,8,1,23,0,0,1,0,0,24,6,5,11.1,0.6,2.02,Dropout
8,16,1,22,1,0,1,0,0,18,5,5,10.8,1.4,1.74,Dropout
1,9,1,1,1,0,1,0,1,19,5,3,9.4,-0.8,-3.12,Enrolled
1,11,1,23,1,0,1,0,0,18,6,6,7.6,2.6,0.32,Graduate
1,8,1,13,1,0,1,0,0,18,4,5,12.7,3.7,-1.7,Enrolled
1,2,1,13,1,0,1,0,1,19,0,0,10.8,1.4,1.74,Graduate
15,6,1,4,0,0,1,0,0,22,6,4,13.9,-0.3,0.79,Graduate
1,11,1,2,1,0,1,0,0,19,5,2,10.8,1.4,1.74,Enrolled
8,10,1,22,1,0,1,0,1,21,3,4,12.7,3.7,-1.7,Enrolled
8,15,1,13,1,0,1,0,1,21,5,6,8.9,1.4,3.51,Graduate
1,12,1,23,1,0,1,0,1,18,7,7,10.8,1.4,1.74,Graduate
1,16,1,1,1,0,1,0,0,20,4,1,10.8,1.4,1.74,Dropout
1,11,1,22,1,0,1,0,1,18,6,5,7.6,2.6,0.32,Enrolled
7,5,1,1,1,0,1,0,0,19,6,6,12.7,3.7,-1.7,Graduate
1,12,1,1,1,0,1,0,1,18,6,6,11.1,0.6,2.02,Enrolled
6,9,1,26,0,1,0,1,0,26,6,2,11.1,0.6,2.02,Dropout
12,3,0,22,0,0,1,0,0,35,6,6,15.5,2.8,-4.06,Graduate
